Date,Max,Avg,Min,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1/1/2014,46,39,32,31,23,15,56,42,17,29.99,29.93,29.90,9,6,4,22,10,0.00,,
1/2/2014,43,36,29,17,9,2,36,23,8,30.21,30.15,30.07,12,10,7,11,6,0.00,,
1/3/2014,45,37,30,33,20,13,60,39,23,30.15,30.06,29.97,12,8,4,20,7,0.00,,
1/4/2014,42,33,25,23,15,10,55,36,22,30.14,30.10,30.07,12,8,4,13,9,0.00,,
1/5/2014,38,31,24,16,13,10,58,36,20,30.30,30.22,30.16,11,10,7,16,6,0.00,,
1/6/2014,43,34,25,20,16,13,52,38,19,30.41,30.36,30.33,10,7,4,9,3,0.00,,
1/7/2014,41,37,32,28,22,19,56,43,31,30.35,30.30,30.25,4,4,3,11,6,0.00,8,
1/8/2014,39,35,26,32,22,4,73,50,18,30.23,30.18,30.10,12,5,1,22,8,0.00,8,Rain
1/9/2014,24,18,13,-3,-11,-20,19,13,4,30.45,30.37,30.24,12,12,10,22,11,0.00,,
1/10/2014,30,22,15,15,5,-8,50,31,18,30.51,30.47,30.44,12,10,7,16,5,0.00,,Snow
1/11/2014,36,28,22,18,7,-9,74,40,5,30.53,30.47,30.43,12,7,3,16,7,0.00,,
1/12/2014,36,31,21,20,8,-3,53,30,11,30.44,30.37,30.33,12,7,2,22,7,0.00,,
1/13/2014,29,21,13,-4,-9,-16,23,14,6,30.56,30.50,30.46,12,12,12,20,8,0.00,,
1/14/2014,34,24,16,5,-3,-6,26,17,8,30.54,30.52,30.49,12,11,8,16,7,0.00,,
1/15/2014,36,26,18,12,5,-1,40,28,15,30.54,30.51,30.48,9,7,5,16,4,0.00,,
1/16/2014,38,31,24,24,18,14,57,46,36,30.46,30.41,30.34,5,3,1,13,6,0.00,8,
1/17/2014,38,32,25,24,18,10,74,48,17,30.37,30.33,30.28,6,3,1,11,3,0.00,,
1/18/2014,33,28,24,15,8,0,46,30,15,30.42,30.34,30.30,12,7,4,22,8,0.00,,
1/19/2014,36,26,18,12,6,1,38,29,12,30.48,30.41,30.30,9,8,7,13,5,0.00,8,
1/20/2014,35,30,27,30,25,20,87,74,51,30.23,30.11,30.02,6,2,1,18,8,0.08,8,Snow
1/21/2014,26,22,19,18,12,10,70,53,45,30.36,30.27,30.18,4,3,2,18,9,0.00,8,Snow
1/22/2014,34,24,14,18,11,8,59,47,27,30.41,30.39,30.36,7,4,2,9,5,0.00,,
1/23/2014,39,30,22,24,20,16,73,55,37,30.40,30.34,30.25,7,5,4,11,5,0.00,,
1/24/2014,42,36,30,30,26,23,65,54,44,30.25,30.18,30.09,4,4,3,13,8,0.00,8,
1/25/2014,43,40,36,40,33,25,88,68,52,30.11,30.02,29.95,4,3,1,11,5,0.12,8,Rain
1/26/2014,36,29,22,18,9,4,45,30,19,30.41,30.34,30.19,12,10,7,13,10,0.00,,
1/27/2014,42,32,22,21,11,3,48,33,9,30.37,30.28,30.17,12,10,8,22,7,0.00,,
1/28/2014,40,36,30,35,19,1,83,46,10,30.35,30.24,30.15,12,7,2,18,7,0.00,8,Rain
1/29/2014,46,34,22,24,10,4,43,26,8,30.36,30.22,30.06,12,11,9,18,8,0.00,,
1/30/2014,43,42,33,39,30,1,90,62,13,30.12,29.99,29.93,12,5,1,20,8,0.12,8,Rain
1/31/2014,44,34,24,4,2,0,24,15,8,30.30,30.24,30.20,12,12,11,13,7,0.00,,
2/1/2014,41,40,38,38,22,4,90,48,12,30.17,30.04,29.87,12,7,1,22,10,0.43,8,Rain
2/2/2014,43,42,40,41,39,37,90,86,78,29.87,29.83,29.81,4,1,0,11,6,0.00,8,Rain
2/3/2014,37,30,19,34,8,-7,86,34,9,30.16,30.02,29.91,12,9,2,25,11,0.00,,
2/4/2014,25,18,13,-7,-11,-14,17,14,8,30.35,30.27,30.20,12,12,11,20,11,0.00,,
2/5/2014,32,24,16,0,-7,-10,20,14,7,30.46,30.40,30.36,11,10,9,13,7,0.00,,
2/6/2014,40,31,22,3,1,-1,25,17,10,30.38,30.33,30.25,12,11,9,9,3,0.00,,
2/7/2014,45,36,28,19,15,4,41,29,21,30.29,30.17,30.06,12,12,10,25,13,0.00,8,
2/8/2014,36,32,30,31,26,22,91,70,54,30.07,30.05,30.01,11,5,1,25,15,0.12,8,Snow
2/9/2014,33,28,25,27,23,21,90,69,55,30.21,30.16,30.09,11,8,5,13,8,0.00,8,Snow
2/10/2014,39,32,26,25,18,14,82,49,25,30.33,30.29,30.23,12,8,2,16,7,0.00,8,Snow
2/11/2014,41,32,25,15,12,8,44,30,15,30.37,30.33,30.25,12,12,10,20,11,0.00,,
2/12/2014,41,34,28,21,17,12,46,36,27,30.40,30.37,30.33,12,11,9,16,8,0.00,,
2/13/2014,43,36,28,18,15,11,49,33,15,30.48,30.43,30.39,12,9,7,11,7,0.00,,
